patientId,method,deletion_auc,insertion_auc
b68055e9-64be-476d-9cf8-e06a8cb10a7d,gradcampp,0.803519050280253,0.9985728036789667
b68055e9-64be-476d-9cf8-e06a8cb10a7d,eigencam,0.7838835176967439,0.9986019333203634
b68055e9-64be-476d-9cf8-e06a8cb10a7d,layercam,0.7995121024903797,0.9984842964581081
b68055e9-64be-476d-9cf8-e06a8cb10a7d,scorecam,0.8092799498921349,0.9986829360326132
e81046a7-87bc-43ef-858d-089ceb254bea,gradcam,0.8344399758747646,0.9987300265403021
e81046a7-87bc-43ef-858d-089ceb254bea,gradcampp,0.8327609101931254,0.9988421258472261
e81046a7-87bc-43ef-858d-089ceb254bea,eigencam,0.8444988358588446,0.9986597129276821
e81046a7-87bc-43ef-858d-089ceb254bea,layercam,0.8271645023709252,0.9987077940078009
e81046a7-87bc-43ef-858d-089ceb254bea,scorecam,0.8295205065182277,0.9989473904882159
9341907e-9b62-4197-a0b3-3ddd3c55a884,gradcam,0.7463647354216802,0.9940407673517863
9341907e-9b62-4197-a0b3-3ddd3c55a884,gradcampp,0.7493229565166292,0.9940447949227833
9341907e-9b62-4197-a0b3-3ddd3c55a884,eigencam,0.8205877258664086,0.994048053310031
9341907e-9b62-4197-a0b3-3ddd3c55a884,layercam,0.7537772456804911,0.9940555776868548
9341907e-9b62-4197-a0b3-3ddd3c55a884,scorecam,0.7619024344852993,0.9940495604560489
1703df50-8138-4f31-bf88-737846994074,gradcam,0.8224944812910897,0.9968126558122181
1703df50-8138-4f31-bf88-737846994074,gradcampp,0.8098409686769757,0.9968167656943911
1703df50-8138-4f31-bf88-737846994074,eigencam,0.8069966009684971,0.996817722207024
1703df50-8138-4f31-bf88-737846994074,layercam,0.8066267541476658,0.9968198622976031
1703df50-8138-4f31-bf88-737846994074,scorecam,0.8192275280044192,0.9968081769489107
70a630f3-c0cd-4487-b07f-87e2bbe961e0,gradcam,0.5764845098767962,0.9992781707218715
70a630f3-c0cd-4487-b07f-87e2bbe961e0,gradcampp,0.6035318147568476,0.9993362086159843
70a630f3-c0cd-4487-b07f-87e2bbe961e0,eigencam,0.7103427052497864,0.9992783608890715
70a630f3-c0cd-4487-b07f-87e2bbe961e0,layercam,0.6188352065426963,0.9994390805562338
70a630f3-c0cd-4487-b07f-87e2bbe961e0,scorecam,0.6425776197796776,0.9995652181761605
3bdd7783-a978-415c-b0eb-d57c618d50de,gradcam,0.8111429384776524,0.9981431137947809
3bdd7783-a978-415c-b0eb-d57c618d50de,gradcampp,0.8139478961626688,0.9981440504391988
3bdd7783-a978-415c-b0eb-d57c618d50de,eigencam,0.8332810657364982,0.9981441185587928
3bdd7783-a978-415c-b0eb-d57c618d50de,layercam,0.8187020137196496,0.9981434373628526
3bdd7783-a978-415c-b0eb-d57c618d50de,scorecam,0.8206941684087118,0.9981419444084167
57880594-01e6-4768-bd1c-b943840d6040,gradcam,0.7466940198625837,0.9914724855195909
57880594-01e6-4768-bd1c-b943840d6040,gradcampp,0.7388759397325062,0.9880856956754412
57880594-01e6-4768-bd1c-b943840d6040,eigencam,0.8053149666104998,0.9912685184251695
57880594-01e6-4768-bd1c-b943840d6040,layercam,0.7526398244358244,0.9871629363014585
57880594-01e6-4768-bd1c-b943840d6040,scorecam,0.7544940028871808,0.9879616158349174
a940da0e-5033-4069-9318-0f675dfcfc16,gradcam,0.6791324274880546,0.9952311600957598
a940da0e-5033-4069-9318-0f675dfcfc16,gradcampp,0.7131639350028265,0.9951708629017785
a940da0e-5033-4069-9318-0f675dfcfc16,eigencam,0.8223097324371338,0.9944104779334295
a940da0e-5033-4069-9318-0f675dfcfc16,layercam,0.7119773143813724,0.9954084498541695
a940da0e-5033-4069-9318-0f675dfcfc16,scorecam,0.7296279952639625,0.9967988615944272
60930f08-9007-42ae-8c36-68442442c6b0,gradcam,0.5578244200774601,0.9779687864439828
60930f08-9007-42ae-8c36-68442442c6b0,gradcampp,0.5900018144221533,0.9797135392824808
60930f08-9007-42ae-8c36-68442442c6b0,eigencam,0.6676267158417475,0.9722169211932591
60930f08-9007-42ae-8c36-68442442c6b0,layercam,0.6011296610037485,0.9795518120129904
60930f08-9007-42ae-8c36-68442442c6b0,scorecam,0.6420879704611642,0.9768502683866591
7193cbb0-daf6-4ee6-90b4-1db93123040d,gradcam,0.8177176685560317,0.9994291663169861
7193cbb0-daf6-4ee6-90b4-1db93123040d,gradcampp,0.8154646158218384,0.9994265664191473
7193cbb0-daf6-4ee6-90b4-1db93123040d,eigencam,0.8397564746084667,0.9994239892278399
7193cbb0-daf6-4ee6-90b4-1db93123040d,layercam,0.8129539376213437,0.9994247612499055
7193cbb0-daf6-4ee6-90b4-1db93123040d,scorecam,0.8167332552728199,0.9994178669793266
b7f74683-4c0a-4123-9aad-9eb79374d1f2,gradcam,0.6224602304753803,0.9946583055314564
b7f74683-4c0a-4123-9aad-9eb79374d1f2,gradcampp,0.6480705113638014,0.9938545652798244
b7f74683-4c0a-4123-9aad-9eb79374d1f2,eigencam,0.787151765255701,0.993356622400738
b7f74683-4c0a-4123-9aad-9eb79374d1f2,layercam,0.6728582396393731,0.993681149823325
b7f74683-4c0a-4123-9aad-9eb79374d1f2,scorecam,0.7131283027785165,0.9932627053487868
bac5d49a-c506-4db8-b9e6-e3bec2f8abdd,gradcam,0.6006142724127996,0.9941134140605018
bac5d49a-c506-4db8-b9e6-e3bec2f8abdd,gradcampp,0.6914809062367394,0.9940803278060186
bac5d49a-c506-4db8-b9e6-e3bec2f8abdd,eigencam,0.7015111673445928,0.9940380312147594
bac5d49a-c506-4db8-b9e6-e3bec2f8abdd,layercam,0.693229839915321,0.9940899922734215
bac5d49a-c506-4db8-b9e6-e3bec2f8abdd,scorecam,0.7132305105527242,0.99405114423661
91b2ce38-efaf-4476-b77c-4f363d340f11,gradcam,0.8567698824973333,0.9981596753710792
91b2ce38-efaf-4476-b77c-4f363d340f11,gradcampp,0.8529889526821318,0.998245188168117
91b2ce38-efaf-4476-b77c-4f363d340f11,eigencam,0.8592133862631661,0.9983416710581098
91b2ce38-efaf-4476-b77c-4f363d340f11,layercam,0.8599467391059512,0.9980958842095875
91b2ce38-efaf-4476-b77c-4f363d340f11,scorecam,0.8425315817197164,0.9983111023902893
78dba4d7-e138-4d40-b6a5-ac2d8c65dcf5,gradcam,0.5179971896466755,0.9986000146184649
78dba4d7-e138-4d40-b6a5-ac2d8c65dcf5,gradcampp,0.5871769005344027,0.998579910823277
78dba4d7-e138-4d40-b6a5-ac2d8c65dcf5,eigencam,0.6505274999709356,0.9984862577347529
78dba4d7-e138-4d40-b6a5-ac2d8c65dcf5,layercam,0.5864865907600948,0.9985543517839341
78dba4d7-e138-4d40-b6a5-ac2d8c65dcf5,scorecam,0.6499024317378089,0.9985515219824654
5c643f67-e321-4f90-bcd0-58c4517561a9,gradcam,0.4788553714752197,0.8577833771705627
5c643f67-e321-4f90-bcd0-58c4517561a9,gradcampp,0.5567469909077599,0.8216501956894284
5c643f67-e321-4f90-bcd0-58c4517561a9,eigencam,0.6777856406711397,0.6527307232220968
5c643f67-e321-4f90-bcd0-58c4517561a9,layercam,0.5539694612934476,0.8015161922999791
5c643f67-e321-4f90-bcd0-58c4517561a9,scorecam,0.5899546685672942,0.7507617274920145
608623de-7a7a-4988-8e94-61d8a0a1cbd3,gradcam,0.7819430288814363,0.9974027474721273
608623de-7a7a-4988-8e94-61d8a0a1cbd3,gradcampp,0.7787234357425145,0.9974025260834467
608623de-7a7a-4988-8e94-61d8a0a1cbd3,eigencam,0.8148174995467776,0.9974000851313273
608623de-7a7a-4988-8e94-61d8a0a1cbd3,layercam,0.7750616329056876,0.9974020719528198
608623de-7a7a-4988-8e94-61d8a0a1cbd3,scorecam,0.7910579414594741,0.9973993982587542
0bf1767e-263b-443d-935f-489fe858922b,gradcam,0.5142492055892944,0.9961751472382319
0bf1767e-263b-443d-935f-489fe858922b,gradcampp,0.5544974420751844,0.9960486463138035
0bf1767e-263b-443d-935f-489fe858922b,eigencam,0.6208696578230176,0.9957854492323739
0bf1767e-263b-443d-935f-489fe858922b,layercam,0.5677977842944009,0.9961246081760952
